id,flow_date,flow_type,from_entity_id,to_entity_id,site_id,amount_aud,amount_original,currency_original,vehicle,foreign_control,notes,fact_status,source_id,confidence,as_of_date
1,2024-12-23,acquisition,ENT_BLACKSTONE,ENT_AIRTRUNK,,24000000000.0,,,"Blackstone Real Estate Partners / Infrastructure Partners / Tactical Opportunities / BX PE individual-investor strategy, with CPP Investments",1,Largest data centre transaction globally and the largest Australian transaction of 2024. FIRB approval was a condition of the September 2024 agreement.,VERIFIED,SRC_AIRTRUNK_BC,high,2024-12-23
2,2024-12-23,acquisition,ENT_CPP,ENT_AIRTRUNK,,,,,,1,12% interest acquired as part of the A$24bn transaction.,VERIFIED,SRC_CPP,high,2026-09-18
3,2024-12-23,asset_sale,ENT_AIRTRUNK,ENT_MACQUARIE_AM,,,,,,0,Macquarie Asset Management and PSP Investments exited their combined 88% stake - a domestic infrastructure-manager and Canadian-pension exit into US private equity.,REPORTED,SRC_INFRAINV,medium,2026-09-18
4,2025-02-18,acquisition,ENT_FUTUREFUND,ENT_CDC,,,,,,0,"Future Fund lifted its direct CDC holding to 34.55% by exercising pre-emptive rights over CSC's 12.04% sale process, which had attracted international bids. Enterprise value ~$17bn implied.",VERIFIED,SRC_CDC2025,high,2026-09-18
5,2025-02-18,acquisition,ENT_INFRATIL,ENT_CDC,,,,,,1,"Infratil (NZ) lifted to 49.75% - the largest CDC shareholder is a foreign-listed infrastructure investor, which qualifies the 'sovereign ownership' framing of the February 2025 announcement.",VERIFIED,SRC_CDC2025,high,2026-09-18
6,2023-10-24,capex_commitment,ENT_MICROSOFT,,,5000000000.0,,,,1,A$5bn over two years; grew the Australian footprint to 29 sites across three Azure regions.,VERIFIED,SRC_MS2023,high,2026-09-18
7,2026-04-23,capex_commitment,ENT_MICROSOFT,,,25000000000.0,,,,1,"A$25bn (US$18bn) of capital and operating expenditure by end-2029; footprint to expand by more than 140%. Signed alongside an MoU with the Australian Government affirming the March 2026 Expectations, plus expansion of the Microsoft-ASD Cyber-Shield and a commitment to AI-skill three million Australians by 2028. Microsoft also cites EY-Parthenon analysis claiming $36bn of local economic contribution and the equivalent of 186,000 full-time jobs in FY25 - an economic-contribution figure, not an employment headcount, and it should not be read as data centre jobs.",VERIFIED,SRC_MS2026,high,2026-04-23
8,2025-06-14,capex_commitment,ENT_AWS,,,20000000000.0,,,,1,"AU$20bn (US$13bn) 2025-2029 for new data centres in Sydney and Melbourne, with new renewable energy projects announced alongside.",VERIFIED,SRC_AWS2025,high,2026-09-18
9,2025-12-05,capex_commitment,ENT_NEXTDC,,SITE_NEXTDC_S7,7600000000.0,,,,0,S7 Sydney AI data centre build with OpenAI confirmed as partner / anchor. Commercial terms of the OpenAI offtake are not disclosed - see research_gaps RG-014.,REPORTED,SRC_CAPBRIEF,medium,2026-09-18
10,2025-02-18,capex_commitment,ENT_CDC,,SITE_CDC_LAVERTON,2700000000.0,,,,0,Laverton phase one. CDC states the two new campuses (Laverton and Sydney) will add ~1 GW.,VERIFIED,SRC_CDC2025,high,2026-09-18
